EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,92.65868
23568,DegreeBranch,84.00628
21490,LatestDegreeCGPA,79.16753
8363,,61.847755
6165,Gender,81.3524
17679,,60.15629
9715,DegreeBranch,79.14404
12591,,55.292553
6140,,57.260418
21018,,54.65081
13221,DegreeBranch,73.431076
23585,YearsOfExperince,79.50505
22575,,79.648964
6078,HighestDegree,91.83333
24125,Gender,82.09545
18073,,53.601055
21420,,78.99854
13218,YearsOfExperince,83.87945
8728,,61.296906
21541,,60.345764
12905,YearsOfExperince,86.61561
19873,Gender,82.13921
6947,YearsOfExperince,90.992455
19019,DegreeBranch,86.187645
24372,,48.454567
5298,Gender,73.973656
18306,,57.47091
22877,,57.072994
15511,,75.964676
11889,LatestDegreeCGPA,83.40281
9848,Gender,86.03697
4944,Gender,77.0732
4689,,60.42044
24333,HighestDegree,89.45671
12186,EmpScore,85.286575
2936,DegreeBranch,81.69456
5082,,54.40928
22236,EmpScore,88.47227
19221,HighestDegree,88.69926
20858,,54.88942
16461,,58.519875
22064,,55.495865
3175,DegreeBranch,84.46632
18407,DegreeBranch,83.425
3684,Gender,82.85997
2198,,52.16637
7540,Gender,79.9523
12700,DegreeBranch,88.474594
17503,DegreeBranch,84.66974
9153,,52.329105
12564,,60.686447
16511,Gender,81.37152
16396,,53.243744
6871,HighestDegree,87.34097
9376,YearsOfExperince,83.593834
7865,EmpScore,85.700584
20616,,50.032703
8839,DegreeBranch,89.25549
15788,DegreeBranch,90.03898
10040,,80.35941
6147,,57.36022
24148,EmpScore,83.22586
4187,,52.730892
18097,,54.166237
11617,DegreeBranch,82.66252
3642,Gender,84.94884
17990,,81.40928
10677,DegreeBranch,80.51193
2215,DegreeBranch,89.92422
9784,EmpScore,77.44715
13451,YearsOfExperince,78.35031
16266,LatestDegreeCGPA,81.575264
19313,DegreeBranch,78.59418
16790,Gender,78.49976
21204,,56.40336
24019,CurrentCompanyType,52.00858
14539,Gender,77.77559
3123,HighestDegree,77.39972
9647,HighestDegree,79.91196
18930,YearsOfExperince,78.85841
23676,,79.73869
16808,,48.97551
23101,Gender,84.03974
3010,,55.149876
4544,DegreeBranch,79.88903
22861,YearsOfExperince,55.68975
10897,YearsOfExperince,90.97421
13475,,53.855007
23461,EmpScore,90.0066
19877,Gender,84.9209
10949,,47.63511
13759,Gender,82.9983
9443,YearsOfExperince,79.28979
5606,EmpScore,89.69159
21658,Gender,82.30747
9731,,57.91282
16330,YearsOfExperince,84.72775
18456,,76.869225
22486,Gender,83.754616
4900,Gender,80.715904
12433,Gender,79.12659
10757,DegreeBranch,87.5911
20969,CurrentCompanyType,94.76682
4565,,50.119152
16117,EmpScore,82.52251
22266,Gender,80.90321
23691,DegreeBranch,86.572914
14468,Gender,83.85819
9433,DegreeBranch,90.72334
2730,EmpScore,89.02142
13205,YearsOfExperince,82.31082
5829,,59.04263
2418,Gender,81.75276
2634,DegreeBranch,80.41983
2693,Gender,82.533356
22436,Gender,81.623
8840,Gender,73.50493
4130,YearsOfExperince,79.32458
13577,YearsOfExperince,81.28879
16463,Gender,76.54423
15922,,80.72586
16368,,53.715244
18819,DegreeBranch,83.32036
14057,EmpScore,79.63778
12793,DegreeBranch,92.10958
12592,YearsOfExperince,73.26086
18919,Gender,80.77622
20836,DegreeBranch,92.084435
16849,,74.66167
17458,Gender,74.8668
3924,DegreeBranch,88.49092
9026,EmpScore,80.827286
6304,YearsOfExperince,77.721146
12307,YearsOfExperince,85.44035
17526,,49.165485
11500,,52.271706
11333,DegreeBranch,73.51653
12156,DegreeBranch,89.05812
11591,YearsOfExperince,79.093315
16930,,53.48017
18677,DegreeBranch,77.59029
14424,DegreeBranch,80.48976
24095,,56.97563
21803,LatestDegreeCGPA,76.59476
